project_id,month,snapshot_date,physical_progress_pct,financial_progress_pct,cumulative_expenditure,revised_cost,cost_overrun_to_date_pct,revised_end_date,completion_date,schedule_slip_months
PRJ-0005,May,2026-05-15,31.61,38.89,825.42,2295.41,8.15,2035-08-19,,7.76
PRJ-0005,June,2026-06-15,39.51,37.81,802.53,2536.48,19.51,2036-01-19,,13.05
PRJ-0005,July,2026-07-15,47.41,48.37,1026.71,2010.38,-5.28,2035-01-19,,0.91
PRJ-0006,Feb,2026-02-15,20.34,22.49,459.94,2846.88,39.2,2037-02-08,,21.21
PRJ-0006,March,2026-03-15,40.67,34.98,715.38,2838.1,38.77,2037-03-08,,21.58
PRJ-0006,April,2026-04-15,61.01,55.88,1142.85,2731.29,33.54,2036-11-08,,17.85
PRJ-0006,May,2026-05-15,78.02,75.56,1545.48,2722.57,33.12,2036-10-08,,17.13
PRJ-0006,June,2026-06-15,78.02,78.15,1598.33,3365.98,64.58,2037-07-08,,25.78
PRJ-0006,July,2026-07-15,78.02,79.91,1634.25,2082.62,1.83,2035-07-08,,2.21
PRJ-0007,Feb,2026-02-15,17.42,16.66,84.97,518.42,1.67,2036-03-26,,8.27
PRJ-0007,March,2026-03-15,34.85,36.95,188.39,517.84,1.55,2035-12-26,,5.37
PRJ-0007,April,2026-04-15,52.27,60.48,308.41,509.79,-0.03,2036-01-26,,6.06
PRJ-0007,May,2026-05-15,69.7,69.13,352.49,497.09,-2.52,2035-11-26,,3.99
PRJ-0007,June,2026-06-15,87.12,87.78,447.59,611.56,19.93,2036-03-26,,7.74
PRJ-0007,July,2026-07-15,97.68,96.98,494.54,422.2,-17.2,2035-07-26,,0.0
PRJ-0008,Feb,2026-02-15,5.04,1.43,14.77,1166.93,12.84,2031-09-25,,15.2
PRJ-0008,March,2026-03-15,10.07,3.25,33.63,1160.81,12.25,2031-06-25,,11.85
PRJ-0008,April,2026-04-15,15.11,13.02,134.66,1159.81,12.15,2031-03-25,,9.31
PRJ-0008,May,2026-05-15,20.15,21.24,219.65,1157.33,11.91,2031-06-25,,12.32
PRJ-0008,June,2026-06-15,25.19,28.53,295.05,1266.51,22.47,2031-12-25,,17.54
PRJ-0008,July,2026-07-15,30.22,31.91,329.95,1069.81,3.45,2031-04-25,,10.36
PRJ-0009,Feb,2026-02-15,79.46,76.15,4412.62,7024.67,21.23,2027-01-07,,8.33
PRJ-0009,March,2026-03-15,84.67,80.81,4682.66,6897.22,19.03,2026-12-07,,6.67
PRJ-0009,April,2026-04-15,82.72,87.17,5051.01,6951.46,19.96,2027-02-07,,8.57
PRJ-0009,May,2026-05-15,94.5,94.28,5462.9,6695.03,15.54,2027-01-07,,8.2
PRJ-0009,June,2026-06-15,100.0,100.0,8050.68,8050.68,38.93,2026-06-10,2026-06-10,1.12
PRJ-0009,July,2026-07-15,100.0,100.0,5619.41,5619.41,-3.02,2026-06-10,2026-06-10,1.12
PRJ-0010,Feb,2026-02-15,0.21,0.0,0.0,1995.33,42.12,2033-06-25,,23.72
PRJ-0010,March,2026-03-15,0.42,6.26,87.96,1901.66,35.44,2033-07-25,,24.92
PRJ-0010,April,2026-04-15,0.63,0.0,0.0,1860.37,32.5,2033-03-25,,21.06
PRJ-0010,May,2026-05-15,0.84,1.07,15.07,1789.12,27.43,2033-05-25,,22.6
PRJ-0010,June,2026-06-15,1.05,2.16,30.37,2587.98,84.33,2034-12-25,,41.7
PRJ-0010,July,2026-07-15,1.12,4.35,61.06,1200.09,-14.52,2031-10-25,,3.54
PRJ-0011,Feb,2026-02-15,40.17,38.69,751.12,2232.56,14.99,2032-12-01,,10.64
PRJ-0011,March,2026-03-15,78.49,77.3,1500.76,2180.02,12.28,2032-06-01,,4.85
PRJ-0011,April,2026-04-15,78.49,85.64,1662.64,2198.68,13.24,2032-10-01,,9.49
PRJ-0011,May,2026-05-15,78.49,81.91,1590.4,2053.32,5.76,2032-07-01,,5.87
PRJ-0011,June,2026-06-15,78.49,83.49,1621.05,2548.53,31.26,2033-04-01,,14.79
PRJ-0011,July,2026-07-15,78.49,81.04,1573.46,1743.53,-10.2,2032-01-01,,0.0
PRJ-0012,Feb,2026-02-15,20.61,20.66,463.63,2566.8,14.38,2031-10-21,,14.96
PRJ-0012,March,2026-03-15,41.22,42.81,960.73,2476.55,10.35,2031-06-21,,10.8
PRJ-0012,April,2026-04-15,61.83,61.63,1383.05,2440.41,8.74,2031-02-21,,7.48
PRJ-0012,May,2026-05-15,82.44,86.02,1930.46,2508.16,11.76,2031-01-21,,6.25
PRJ-0012,June,2026-06-15,87.08,87.26,1958.21,2790.05,24.32,2031-05-21,,9.66
PRJ-0012,July,2026-07-15,87.08,86.48,1940.68,2146.11,-4.37,2030-07-21,,0.0
PRJ-0013,Feb,2026-02-15,72.38,71.57,469.26,878.74,34.03,2027-06-30,,14.07
PRJ-0013,March,2026-03-15,78.64,76.62,502.38,861.72,31.43,2027-04-30,,12.31
PRJ-0013,April,2026-04-15,85.77,84.16,551.77,844.74,28.84,2027-04-30,,12.29
PRJ-0013,May,2026-05-15,90.76,86.2,565.15,826.58,26.07,2027-01-30,,9.27
PRJ-0013,June,2026-06-15,100.0,100.0,994.61,994.61,51.7,2026-06-05,2026-06-05,1.18
PRJ-0013,July,2026-07-15,100.0,100.0,622.67,622.67,-5.03,2026-06-05,2026-06-05,1.18
PRJ-0014,Feb,2026-02-15,11.47,6.96,67.42,1154.02,19.12,2036-07-03,,16.55
PRJ-0014,March,2026-03-15,22.94,19.36,187.6,1069.79,10.42,2036-02-03,,12.24
PRJ-0014,April,2026-04-15,34.41,41.76,404.59,1049.21,8.3,2035-12-03,,10.1
PRJ-0014,May,2026-05-15,45.17,45.31,438.99,968.84,0.0,2035-12-03,,10.09
PRJ-0014,June,2026-06-15,45.17,45.69,442.69,1289.12,33.06,2036-09-03,,18.88
PRJ-0014,July,2026-07-15,45.17,48.58,470.6,663.74,-31.49,2035-02-03,,0.0
PRJ-0015,Feb,2026-02-15,3.4,0.0,0.0,1669.43,39.54,2036-04-11,,26.77
PRJ-0015,March,2026-03-15,6.79,1.02,12.21,1596.06,33.41,2035-12-11,,22.76
PRJ-0015,April,2026-04-15,10.19,7.41,88.66,1565.0,30.81,2035-12-11,,23.22
PRJ-0015,May,2026-05-15,13.58,11.95,142.99,1445.95,20.86,2035-06-11,,16.5
PRJ-0015,June,2026-06-15,13.77,14.89,178.11,1914.92,60.06,2036-06-11,,29.35
PRJ-0015,July,2026-07-15,13.77,14.02,167.78,1112.12,-7.04,2034-05-11,,4.1
PRJ-0016,Feb,2026-02-15,11.38,12.53,1173.96,9194.41,-1.85,2032-04-03,,12.48
PRJ-0016,March,2026-03-15,22.75,12.75,1193.99,9113.91,-2.71,2031-09-03,,4.91
PRJ-0016,April,2026-04-15,34.13,31.9,2988.11,8862.62,-5.39,2031-09-03,,5.2
PRJ-0016,May,2026-05-15,45.51,44.26,4145.99,8764.93,-6.43,2031-10-03,,6.39
PRJ-0016,June,2026-06-15,56.88,53.43,5005.38,11035.62,17.81,2032-04-03,,12.36
PRJ-0016,July,2026-07-15,68.26,69.82,6540.22,7044.5,-24.8,2031-04-03,,0.0
PRJ-0017,Feb,2026-02-15,1.09,3.21,21.02,733.04,11.84,2037-08-21,,18.74
PRJ-0017,March,2026-03-15,2.18,0.91,5.95,693.52,5.81,2037-01-21,,12.04
PRJ-0017,April,2026-04-15,3.27,0.98,6.45,707.27,7.91,2037-03-21,,14.04
PRJ-0017,May,2026-05-15,1.96,1.28,8.41,708.48,8.1,2037-04-21,,15.43
PRJ-0017,June,2026-06-15,5.45,5.75,37.71,922.61,40.77,2038-03-21,,25.63
PRJ-0017,July,2026-07-15,6.54,11.2,73.41,573.72,-12.47,2036-11-21,,10.15
PRJ-0018,Feb,2026-02-15,6.59,11.39,54.36,567.22,18.85,2030-05-11,,18.38
PRJ-0018,March,2026-03-15,13.18,14.52,69.3,551.46,15.55,2029-09-11,,10.0
PRJ-0018,April,2026-04-15,19.76,5.17,24.67,545.41,14.28,2029-10-11,,11.18
PRJ-0018,May,2026-05-15,20.3,22.21,106.0,538.49,12.83,2029-11-11,,11.73
PRJ-0018,June,2026-06-15,20.3,25.78,123.05,644.32,35.0,2030-08-11,,20.85
PRJ-0018,July,2026-07-15,20.3,20.29,96.85,459.66,-3.69,2029-08-11,,9.09
PRJ-0019,Feb,2026-02-15,11.5,11.64,60.74,681.89,30.69,2030-10-16,,20.8
PRJ-0019,March,2026-03-15,23.01,23.9,124.69,669.34,28.29,2030-09-16,,20.37
PRJ-0019,April,2026-04-15,34.51,30.34,158.31,655.52,25.64,2030-08-16,,19.04
PRJ-0019,May,2026-05-15,46.01,40.34,210.5,654.59,25.46,2030-05-16,,16.28
PRJ-0019,June,2026-06-15,57.51,51.39,268.14,731.07,40.12,2030-09-16,,19.6
PRJ-0019,July,2026-07-15,69.02,70.52,367.92,603.11,15.59,2029-11-16,,10.44
PRJ-0020,Feb,2026-02-15,33.38,34.79,709.02,2626.21,28.86,2037-10-11,,19.63
PRJ-0020,March,2026-03-15,66.76,67.28,1371.2,2630.05,29.05,2037-06-11,,15.8
PRJ-0020,April,2026-04-15,83.02,80.11,1632.61,2602.15,27.68,2037-01-11,,10.9
PRJ-0020,May,2026-05-15,83.02,83.04,1692.3,2594.13,27.29,2037-02-11,,12.27
PRJ-0020,June,2026-06-15,83.02,81.53,1661.5,2902.61,42.42,2037-08-11,,18.4
PRJ-0020,July,2026-07-15,83.02,78.09,1591.4,2353.64,15.49,2036-12-11,,10.34
PRJ-0021,Feb,2026-02-15,23.09,24.35,123.84,613.03,20.54,2037-02-25,,17.24
PRJ-0021,March,2026-03-15,46.18,37.74,191.95,595.67,17.13,2036-09-25,,11.73
PRJ-0021,April,2026-04-15,69.26,69.41,352.98,553.12,8.76,2036-04-25,,6.75
PRJ-0021,May,2026-05-15,81.29,86.04,437.58,560.69,10.25,2036-03-25,,6.24
PRJ-0021,June,2026-06-15,81.29,83.23,423.29,661.42,30.06,2036-09-25,,11.71
PRJ-0021,July,2026-07-15,81.29,85.24,433.48,436.79,-14.11,2035-09-25,,0.0
PRJ-0022,Feb,2026-02-15,10.15,12.32,66.17,598.12,11.41,2031-05-13,,12.86
PRJ-0022,March,2026-03-15,20.31,15.34,82.36,599.05,11.59,2031-05-13,,13.21
PRJ-0022,April,2026-04-15,30.46,40.24,216.05,589.47,9.8,2031-01-13,,9.02
PRJ-0022,May,2026-05-15,40.62,41.22,221.28,589.82,9.87,2031-03-13,,11.4
PRJ-0022,June,2026-06-15,50.77,52.55,282.12,727.73,35.55,2031-10-13,,18.04
PRJ-0022,July,2026-07-15,60.93,59.1,317.29,505.22,-5.89,2030-09-13,,4.89
PRJ-0023,Feb,2026-02-15,16.95,13.3,66.55,539.01,7.71,2034-04-20,,13.12
PRJ-0023,March,2026-03-15,33.9,45.14,225.87,548.86,9.68,2034-01-20,,10.15
PRJ-0023,April,2026-04-15,50.85,51.83,259.34,538.06,7.52,2033-11-20,,8.23
PRJ-0023,May,2026-05-15,67.8,68.05,340.52,518.9,3.7,2033-08-20,,5.38
PRJ-0023,June,2026-06-15,84.75,79.16,396.12,677.32,35.35,2034-02-20,,11.12
PRJ-0023,July,2026-07-15,91.24,90.14,451.06,404.92,-19.08,2033-03-20,,0.0
PRJ-0024,Feb,2026-02-15,65.0,68.36,3033.51,5582.52,25.8,2027-11-03,,16.21
PRJ-0024,March,2026-03-15,74.31,69.7,3093.09,5394.85,21.57,2027-05-03,,10.15
PRJ-0024,April,2026-04-15,86.33,86.64,3844.71,5321.53,19.92,2027-06-03,,10.88
PRJ-0024,May,2026-05-15,88.52,89.93,3990.59,5229.04,17.84,2027-01-03,,5.64
PRJ-0024,June,2026-06-15,90.96,90.97,4036.94,6351.79,43.14,2027-10-03,,14.68
PRJ-0024,July,2026-07-15,100.0,100.0,4399.89,4399.89,-0.85,2026-07-21,2026-07-21,0.59
PRJ-0025,Feb,2026-02-15,2.09,7.62,539.12,8677.53,22.68,2030-03-25,,19.36
PRJ-0025,March,2026-03-15,4.19,4.44,313.81,8742.2,23.59,2030-04-25,,19.83
PRJ-0025,April,2026-04-15,6.28,6.3,445.6,8451.08,19.48,2030-05-25,,21.5
PRJ-0025,May,2026-05-15,8.38,0.37,26.39,8020.82,13.39,2029-11-25,,14.6
PRJ-0025,June,2026-06-15,10.47,13.23,936.14,10175.5,43.85,2030-11-25,,27.04
PRJ-0025,July,2026-07-15,11.47,15.54,1099.56,7006.08,-0.95,2029-08-25,,12.35
PRJ-0026,Feb,2026-02-15,36.76,31.09,348.61,1257.85,12.18,2036-04-12,,9.48
PRJ-0026,March,2026-03-15,73.52,72.51,812.96,1292.63,15.29,2036-01-12,,5.51
PRJ-0026,April,2026-04-15,84.49,81.04,908.7,1281.54,14.3,2036-07-12,,11.78
PRJ-0026,May,2026-05-15,84.49,82.84,928.84,1329.0,18.53,2036-03-12,,7.62
PRJ-0026,June,2026-06-15,84.49,76.85,861.73,1410.51,25.8,2036-06-12,,10.66
PRJ-0026,July,2026-07-15,84.49,84.15,943.5,1207.85,7.72,2035-08-12,,1.36
PRJ-0027,Feb,2026-02-15,18.05,12.55,489.72,4305.88,10.32,2032-10-16,,12.81
PRJ-0027,March,2026-03-15,36.11,38.56,1504.92,4240.76,8.65,2032-07-16,,10.41
PRJ-0027,April,2026-04-15,54.16,58.19,2271.13,4224.56,8.24,2032-05-16,,7.87
PRJ-0027,May,2026-05-15,63.15,70.88,2766.64,4094.6,4.91,2032-07-16,,10.06
PRJ-0027,June,2026-06-15,63.15,59.44,2320.07,5270.18,35.02,2033-05-16,,19.65
PRJ-0027,July,2026-07-15,63.15,57.86,2258.24,3099.82,-20.58,2031-09-16,,0.0
PRJ-0028,Feb,2026-02-15,10.54,8.59,55.32,1009.45,56.66,2032-07-02,,30.19
PRJ-0028,March,2026-03-15,21.08,10.48,67.51,973.2,51.03,2032-02-02,,24.58
PRJ-0028,April,2026-04-15,31.63,22.63,145.8,938.0,45.57,2031-11-02,,21.76
PRJ-0028,May,2026-05-15,42.17,41.99,270.57,947.44,47.03,2032-03-02,,25.98
PRJ-0028,June,2026-06-15,43.61,46.74,301.16,1038.7,61.2,2032-03-02,,26.38
PRJ-0028,July,2026-07-15,43.61,46.52,299.77,747.96,16.08,2030-12-02,,11.24
PRJ-0029,Feb,2026-02-15,78.63,85.37,584.44,774.17,13.08,2026-11-10,,6.08
PRJ-0029,March,2026-03-15,88.73,89.0,609.32,785.75,14.77,2026-11-10,,5.7
PRJ-0029,April,2026-04-15,96.31,95.63,654.68,747.0,9.11,2026-06-10,,0.51
PRJ-0029,May,2026-05-15,100.0,100.0,761.34,761.34,11.21,2026-05-15,2026-05-15,0.16
PRJ-0029,June,2026-06-15,100.0,100.0,956.14,956.14,39.66,2026-05-15,2026-05-15,0.16
PRJ-0029,July,2026-07-15,100.0,100.0,634.3,634.3,-7.35,2026-05-15,2026-05-15,0.16
PRJ-0030,Feb,2026-02-15,15.03,18.22,118.95,738.83,13.15,2037-02-15,,13.9
PRJ-0030,March,2026-03-15,30.07,29.61,193.32,725.16,11.06,2036-11-15,,10.59
PRJ-0030,April,2026-04-15,43.79,46.39,302.89,718.73,10.07,2036-11-15,,11.46
PRJ-0030,May,2026-05-15,43.79,49.58,323.76,714.21,9.38,2036-09-15,,9.28
PRJ-0030,June,2026-06-15,43.79,41.29,269.62,853.16,30.66,2037-06-15,,17.52
PRJ-0030,July,2026-07-15,43.79,50.27,328.22,597.62,-8.47,2036-05-15,,4.51
PRJ-0031,Feb,2026-02-15,6.94,14.95,161.91,1201.02,10.92,2030-04-13,,16.64
PRJ-0031,March,2026-03-15,13.88,12.12,131.27,1194.67,10.34,2029-12-13,,13.16
PRJ-0031,April,2026-04-15,20.82,21.85,236.58,1147.82,6.01,2029-12-13,,13.3
PRJ-0031,May,2026-05-15,27.76,25.11,271.92,1139.85,5.27,2029-07-13,,8.2
PRJ-0031,June,2026-06-15,34.7,34.91,378.03,1454.36,34.32,2030-03-13,,15.68
PRJ-0031,July,2026-07-15,41.64,44.65,483.5,1014.02,-6.35,2029-03-13,,4.28
PRJ-0032,Feb,2026-02-15,6.57,8.83,1846.2,24789.94,18.55,2029-11-04,,21.38
PRJ-0032,March,2026-03-15,13.13,14.64,3060.97,24230.93,15.87,2029-03-04,,13.01
PRJ-0032,April,2026-04-15,19.7,16.66,3483.49,24205.95,15.75,2029-04-04,,14.03
PRJ-0032,May,2026-05-15,26.27,20.02,4185.54,23415.54,11.97,2029-03-04,,13.5
PRJ-0032,June,2026-06-15,32.83,34.01,7111.08,26328.0,25.9,2029-04-04,,13.95
PRJ-0032,July,2026-07-15,39.4,42.37,8859.95,20582.96,-1.57,2028-05-04,,2.97
PRJ-0033,Feb,2026-02-15,16.99,18.7,209.31,1311.24,17.13,2030-06-17,,16.83
PRJ-0033,March,2026-03-15,33.97,29.84,334.07,1318.92,17.81,2030-08-17,,18.78
PRJ-0033,April,2026-04-15,50.96,48.03,537.66,1325.84,18.43,2030-03-17,,14.17
PRJ-0033,May,2026-05-15,67.94,66.93,749.28,1307.36,16.78,2029-12-17,,10.84
PRJ-0033,June,2026-06-15,84.93,86.34,966.55,1461.23,30.52,2030-05-17,,16.32
PRJ-0033,July,2026-07-15,90.73,89.22,998.86,1198.97,7.1,2029-04-17,,2.58
PRJ-0034,Feb,2026-02-15,2.44,0.0,0.0,9945.0,25.01,2035-01-09,,20.41
PRJ-0034,March,2026-03-15,0.75,2.98,236.97,9639.26,21.16,2035-01-09,,19.67
PRJ-0034,April,2026-04-15,6.94,12.83,1020.94,9329.58,17.27,2035-01-09,,19.66
PRJ-0034,May,2026-05-15,5.66,4.39,349.49,8648.07,8.7,2034-07-09,,14.04
PRJ-0034,June,2026-06-15,6.64,7.02,558.24,14915.41,87.48,2037-01-09,,44.32
PRJ-0034,July,2026-07-15,7.81,9.15,728.16,6126.63,-22.99,2033-06-09,,1.18
PRJ-0035,Feb,2026-02-15,2.29,0.0,0.0,797.8,16.65,2032-04-08,,19.92
PRJ-0035,March,2026-03-15,4.59,3.77,25.78,780.57,14.13,2031-11-08,,15.41
PRJ-0035,April,2026-04-15,6.88,9.66,66.05,770.4,12.64,2031-12-08,,16.11
PRJ-0035,May,2026-05-15,9.17,9.14,62.49,775.56,13.4,2032-01-08,,16.61
PRJ-0035,June,2026-06-15,11.47,20.38,139.42,998.14,45.94,2032-08-08,,23.57
PRJ-0035,July,2026-07-15,12.06,17.53,119.89,640.59,-6.34,2031-03-08,,6.63
PRJ-0036,Feb,2026-02-15,20.03,16.38,470.85,3895.47,35.53,2037-12-04,,23.68
PRJ-0036,March,2026-03-15,40.05,42.67,1226.54,3832.89,33.35,2037-08-04,,20.36
PRJ-0036,April,2026-04-15,47.71,43.99,1264.47,3687.01,28.27,2037-02-04,,14.43
PRJ-0036,May,2026-05-15,47.71,48.66,1398.52,3533.69,22.94,2037-02-04,,14.14
PRJ-0036,June,2026-06-15,47.71,35.89,1031.46,6047.45,110.39,2039-06-04,,42.42
PRJ-0036,July,2026-07-15,47.71,45.05,1294.87,2583.24,-10.13,2036-03-04,,3.45
PRJ-0037,Feb,2026-02-15,0.48,0.85,7.38,1060.03,21.39,2034-05-01,,23.0
PRJ-0037,March,2026-03-15,3.04,6.89,60.18,1019.77,16.78,2033-10-01,,16.06
PRJ-0037,April,2026-04-15,4.56,6.4,55.87,986.03,12.92,2033-12-01,,17.95
PRJ-0037,May,2026-05-15,6.08,0.93,8.15,994.37,13.87,2033-07-01,,13.41
PRJ-0037,June,2026-06-15,3.43,0.0,0.0,1272.88,45.77,2034-10-01,,27.83
PRJ-0037,July,2026-07-15,5.1,5.05,44.1,774.81,-11.27,2032-09-01,,2.92
PRJ-0038,Feb,2026-02-15,20.25,23.36,278.23,1459.44,22.53,2033-03-12,,15.84
PRJ-0038,March,2026-03-15,40.5,35.0,416.95,1429.52,20.01,2033-02-12,,14.8
PRJ-0038,April,2026-04-15,60.74,58.28,694.18,1377.65,15.66,2032-09-12,,10.15
PRJ-0038,May,2026-05-15,80.99,76.71,913.66,1326.01,11.32,2032-05-12,,5.54
PRJ-0038,June,2026-06-15,91.78,93.07,1108.59,1863.85,56.48,2033-05-12,,18.45
PRJ-0038,July,2026-07-15,91.78,87.05,1036.92,1011.38,-15.09,2031-11-12,,0.0
PRJ-0039,Feb,2026-02-15,36.15,36.43,422.79,1258.33,8.41,2031-06-21,,11.7
PRJ-0039,March,2026-03-15,63.92,55.93,649.19,1279.02,10.19,2030-11-21,,4.53
PRJ-0039,April,2026-04-15,63.92,61.06,708.73,1263.57,8.86,2031-04-21,,10.06
PRJ-0039,May,2026-05-15,63.92,56.18,652.11,1247.01,7.44,2030-10-21,,4.4
PRJ-0039,June,2026-06-15,63.92,62.98,731.05,1388.92,19.66,2031-05-21,,10.83
PRJ-0039,July,2026-07-15,63.92,68.24,792.01,1131.05,-2.55,2030-12-21,,5.83
PRJ-0040,Feb,2026-02-15,31.67,34.67,478.01,1654.83,20.02,2031-01-22,,11.83
PRJ-0040,March,2026-03-15,55.68,61.75,851.37,1620.86,17.56,2030-12-22,,10.94
PRJ-0040,April,2026-04-15,55.68,56.63,780.81,1622.53,17.68,2030-12-22,,11.3
PRJ-0040,May,2026-05-15,55.68,54.74,754.69,1599.93,16.04,2030-08-22,,7.37
PRJ-0040,June,2026-06-15,55.68,57.89,798.14,1682.2,22.0,2031-03-22,,13.81
PRJ-0040,July,2026-07-15,55.68,52.78,727.79,1379.89,0.08,2030-05-22,,4.18
PRJ-0041,Feb,2026-02-15,2.01,0.0,0.0,431.82,18.64,2033-11-07,,15.99
PRJ-0041,March,2026-03-15,4.03,1.49,5.41,417.21,14.62,2033-09-07,,14.31
PRJ-0041,April,2026-04-15,6.04,8.96,32.61,416.89,14.54,2033-08-07,,13.19
PRJ-0041,May,2026-05-15,8.05,7.17,26.11,407.74,12.02,2033-11-07,,15.92
PRJ-0041,June,2026-06-15,10.06,4.25,15.47,475.73,30.7,2034-02-07,,19.01
PRJ-0041,July,2026-07-15,11.75,15.87,57.76,365.58,0.44,2033-01-07,,6.31
PRJ-0042,Feb,2026-02-15,83.41,85.22,740.11,946.34,8.96,2026-10-21,,5.77
PRJ-0042,March,2026-03-15,85.28,91.59,795.44,924.96,6.5,2026-06-21,,1.91
PRJ-0042,April,2026-04-15,91.88,96.41,837.35,901.82,3.83,2026-09-21,,4.85
PRJ-0042,May,2026-05-15,100.0,100.0,866.2,866.2,-0.27,2026-05-22,2026-05-22,1.02
PRJ-0042,June,2026-06-15,100.0,100.0,1288.49,1288.49,48.36,2026-05-22,2026-05-22,1.02
PRJ-0042,July,2026-07-15,100.0,100.0,674.41,674.41,-22.35,2026-05-22,2026-05-22,1.02
PRJ-0043,Feb,2026-02-15,13.72,25.38,212.06,1166.43,39.61,2030-10-08,,20.66
PRJ-0043,March,2026-03-15,27.45,24.41,203.93,1136.58,36.04,2030-11-08,,22.48
PRJ-0043,April,2026-04-15,41.17,44.22,369.46,1090.13,30.48,2030-09-08,,20.08
PRJ-0043,May,2026-05-15,54.9,59.43,496.5,1056.35,26.44,2029-11-08,,9.98
PRJ-0043,June,2026-06-15,68.62,70.12,585.86,1559.99,86.72,2032-01-08,,36.27
PRJ-0043,July,2026-07-15,82.35,79.03,660.23,689.59,-17.46,2029-01-08,,0.0
PRJ-0044,Feb,2026-02-15,26.23,28.82,286.42,1044.71,5.12,2030-04-15,,7.66
PRJ-0044,March,2026-03-15,52.45,51.98,516.55,1058.88,6.55,2030-06-15,,10.34
PRJ-0044,April,2026-04-15,78.68,75.9,754.33,1029.36,3.57,2029-11-15,,2.8
PRJ-0044,May,2026-05-15,97.89,99.5,988.86,1033.12,3.95,2029-09-15,,0.87
PRJ-0044,June,2026-06-15,97.89,91.62,910.56,1245.9,25.36,2030-06-15,,9.91
PRJ-0044,July,2026-07-15,97.89,99.5,988.86,792.2,-20.29,2029-08-15,,0.0
PRJ-0045,Feb,2026-02-15,14.57,11.78,346.9,3791.05,28.68,2031-07-03,,20.11
PRJ-0045,March,2026-03-15,29.14,29.68,874.39,3643.91,23.69,2031-05-03,,17.69
PRJ-0045,April,2026-04-15,43.71,37.25,1097.39,3659.74,24.23,2031-04-03,,17.21
PRJ-0045,May,2026-05-15,58.28,55.38,1631.39,3624.39,23.03,2030-12-03,,12.5
PRJ-0045,June,2026-06-15,69.87,65.76,1937.44,4100.37,39.18,2031-03-03,,16.25
PRJ-0045,July,2026-07-15,69.87,67.31,1982.91,3334.1,13.17,2030-09-03,,9.51
PRJ-0046,Feb,2026-02-15,71.97,72.92,637.74,990.26,13.23,2027-05-28,,11.8
PRJ-0046,March,2026-03-15,81.45,82.48,721.41,989.02,13.08,2027-02-28,,8.86
PRJ-0046,April,2026-04-15,89.63,87.3,763.56,966.05,10.46,2026-05-28,,0.35
