project_id,sector,state,sanctioned_cost,sanctioned_date,original_end_date,completion_date,date_of_completion,duration_months,target_cost_overrun_pct,real_state_overrun_july,real_sector_overrun_pct,real_state_drift_pp_month
PRJ-0057,Transmission & Distribution,Odisha,3600.41,2026-02-08,2035-05-08,,,111,-5.068,-14.368,3.02,-4.448
PRJ-0058,Railways,Bihar,3464.82,2026-02-08,2035-12-08,,,118,6.537,-13.584,37.14,-3.536
PRJ-0059,Coal,Tamil Nadu,883.85,2026-02-26,2028-06-26,,,28,-4.562,0.764,-1.1,-0.572
PRJ-0060,Healthcare,Karnataka,228.15,2026-02-01,2034-09-01,,,103,-3.362,-17.416,20.66,-5.504
PRJ-0061,Shipping,Sikkim,3192.24,2022-05-22,2026-07-22,2026-07-13,2026-07-13,50,-21.393,-36.961,0.54,-13.156
PRJ-0062,Roads & Highways,Tamil Nadu,758.83,2024-07-06,2026-07-06,2026-07-03,2026-07-03,24,1.738,0.764,1.73,-0.572
PRJ-0063,Roads & Highways,Gujarat,5147.11,2026-02-10,2030-09-10,,,55,9.442,8.533,1.73,-3.068
PRJ-0064,Roads & Highways,Karnataka,973.29,2026-02-08,2033-09-08,,,91,-15.344,-17.416,1.73,-5.504
PRJ-0065,Aviation & Aviation Infrastructure,Uttar Pradesh,350.15,2026-02-22,2031-09-22,,,67,3.394,2.185,6.68,-3.086
PRJ-0066,Roads & Highways,Madhya Pradesh,656.09,2022-01-13,2026-01-13,2026-02-26,2026-02-26,48,1.252,-8.492,1.73,-2.506
PRJ-0067,Roads & Highways,Manipur,594.51,2026-02-22,2035-10-22,,,116,-16.804,-34.668,1.73,-11.403
PRJ-0068,Roads & Highways,Kerala,3733.35,2026-02-10,2030-12-10,,,58,-13.282,-26.921,1.73,-8.051
PRJ-0069,Oil & Gas,Telangana,4118.28,2026-02-22,2029-06-22,,,40,-8.295,-22.597,8.97,-9.117
PRJ-0070,Real Estate,Himachal Pradesh,5998.71,2026-02-24,2030-03-24,,,49,-14.631,-32.81,0.12,-11.046
PRJ-0071,Roads & Highways,Assam,2313.83,2026-02-04,2030-12-04,,,58,-0.505,-6.798,1.73,-7.331
PRJ-0072,Coal,Chhattisgarh,2451.55,2026-02-10,2028-08-10,,,30,-13.935,-22.042,-1.1,-5.836
PRJ-0073,Roads & Highways,Gujarat,651.55,2026-02-02,2031-12-02,,,70,13.952,8.533,1.73,-3.068
PRJ-0074,Telecommunication,Kerala,10417.5,2026-02-18,2033-12-18,,,94,-26.889,-26.921,-35.41,-8.051
PRJ-0075,Roads & Highways,Jammu & Kashmir,721.97,2026-02-02,2033-08-02,,,90,-13.695,-30.598,1.73,-8.146
PRJ-0076,Metals & Mining,Andhra Pradesh,1500.83,2026-02-28,2035-05-28,,,111,21.452,-3.734,42.87,-5.906
PRJ-0077,Roads & Highways,West Bengal,323.21,2026-02-10,2028-04-10,,,26,-1.043,-20.715,1.73,-5.985
PRJ-0078,Roads & Highways,Haryana,757.92,2026-02-11,2028-02-11,,,24,-6.546,8.788,1.73,-7.806
PRJ-0079,Roads & Highways,Bihar,1701.73,2026-02-08,2035-01-08,,,107,0.776,-13.584,1.73,-3.536
PRJ-0080,Oil & Gas,Jharkhand,6541.57,2026-02-09,2030-06-09,,,52,-12.92,-17.585,8.97,-4.6
PRJ-0081,Healthcare,Madhya Pradesh,1051.81,2026-02-16,2033-01-16,,,83,2.835,-8.492,20.66,-2.506
PRJ-0082,Oil & Gas,West Bengal,5216.16,2026-02-12,2028-05-12,,,27,-14.544,-20.715,8.97,-5.985
PRJ-0083,Roads & Highways,Sikkim,1036.19,2026-02-27,2029-06-27,,,40,-25.625,-36.961,1.73,-13.156
PRJ-0084,Roads & Highways,Jharkhand,1454.65,2026-02-16,2029-11-16,,,45,-10.539,-17.585,1.73,-4.6
PRJ-0085,Oil & Gas,Maharashtra,17406.07,2026-02-13,2032-03-13,,,73,5.341,12.366,8.97,-2.098
PRJ-0086,Roads & Highways,Punjab,687.73,2026-02-25,2032-11-25,,,81,-20.284,-29.625,1.73,-7.508
PRJ-0087,Roads & Highways,Maharashtra,892.01,2026-02-06,2031-09-06,,,67,5.414,12.366,1.73,-2.098
PRJ-0088,Roads & Highways,Rajasthan,1520.09,2026-02-10,2034-02-10,,,96,0.432,4.92,1.73,-7.926
PRJ-0089,Roads & Highways,Andhra Pradesh,1476.88,2026-02-25,2029-11-25,,,45,5.028,-3.734,1.73,-5.906
PRJ-0090,Railways,Arunachal Pradesh,3444.9,2026-02-20,2029-04-20,,,38,12.984,-18.413,37.14,-11.146
PRJ-0091,Energy Storage,Andhra Pradesh,1013.89,2026-02-26,2028-10-26,,,32,-0.987,-3.734,13.08,-5.906
PRJ-0092,Education,Odisha,593.14,2026-02-26,2032-06-26,,,76,-4.36,-14.368,-3.03,-4.448
PRJ-0093,Roads & Highways,Uttar Pradesh,1226.7,2026-02-07,2034-09-07,,,103,3.366,2.185,1.73,-3.086
PRJ-0094,Construction,Jammu & Kashmir,316.76,2026-02-06,2028-10-06,,,32,-18.679,-30.598,0.0,-8.146
PRJ-0095,Coal,Rajasthan,2624.28,2026-02-02,2035-12-02,,,118,-4.748,4.92,-1.1,-7.926
PRJ-0096,Roads & Highways,Maharashtra,896.68,2026-02-20,2034-09-20,,,103,3.066,12.366,1.73,-2.098
PRJ-0097,Railways,Chhattisgarh,1874.86,2023-08-20,2026-01-20,2026-02-18,2026-02-18,29,-1.076,-22.042,37.14,-5.836
PRJ-0098,Healthcare,Maharashtra,601.12,2026-02-06,2030-06-06,,,52,10.611,12.366,20.66,-2.098
PRJ-0099,Railways,Tamil Nadu,8178.4,2024-11-13,2026-06-13,2026-06-10,2026-06-10,19,23.285,0.764,37.14,-0.572
PRJ-0100,Roads & Highways,Nagaland,1188.47,2026-02-07,2035-02-07,,,108,-19.37,-37.566,1.73,-8.949
PRJ-0101,Railways,Telangana,12141.23,2026-02-15,2028-08-15,,,30,-2.352,-22.597,37.14,-9.117
PRJ-0102,Roads & Highways,Mizoram,621.02,2026-02-01,2029-05-01,,,39,-32.268,-45.063,1.73,-10.188
PRJ-0103,Water Resources,Madhya Pradesh,5934.27,2026-02-01,2028-09-01,,,31,39.499,-8.492,104.29,-2.506
PRJ-0104,Roads & Highways,Haryana,711.78,2026-02-13,2033-02-13,,,84,-0.487,8.788,1.73,-7.806
PRJ-0105,Roads & Highways,Assam,1015.43,2026-02-06,2030-06-06,,,52,-8.646,-6.798,1.73,-7.331
PRJ-0106,Roads & Highways,Himachal Pradesh,421.27,2026-02-17,2030-10-17,,,56,-23.437,-32.81,1.73,-11.046
PRJ-0107,Roads & Highways,Assam,857.56,2026-02-07,2033-09-07,,,91,-6.424,-6.798,1.73,-7.331
PRJ-0108,Roads & Highways,Odisha,498.31,2026-02-21,2035-12-21,,,118,-9.41,-14.368,1.73,-4.448
PRJ-0109,Healthcare,Madhya Pradesh,710.21,2026-02-05,2028-07-05,,,29,4.462,-8.492,20.66,-2.506
PRJ-0110,Transmission & Distribution,Arunachal Pradesh,1645.15,2023-01-26,2026-04-26,2026-05-10,2026-05-10,39,-19.135,-18.413,3.02,-11.146
PRJ-0111,Roads & Highways,Assam,1020.13,2026-02-01,2031-03-01,,,61,-10.022,-6.798,1.73,-7.331
PRJ-0112,Roads & Highways,West Bengal,760.93,2026-02-24,2031-02-24,,,60,-11.458,-20.715,1.73,-5.985
PRJ-0113,Railways,Karnataka,3525.4,2026-02-20,2032-04-20,,,74,7.709,-17.416,37.14,-5.504
PRJ-0114,Roads & Highways,Maharashtra,2104.61,2026-02-14,2029-01-14,,,35,11.679,12.366,1.73,-2.098
PRJ-0115,Water Resources,Tamil Nadu,1276.35,2026-02-11,2031-08-11,,,66,44.483,0.764,104.29,-0.572
PRJ-0116,Roads & Highways,Jharkhand,818.09,2026-02-23,2029-01-23,,,35,-20.083,-17.585,1.73,-4.6
PRJ-0117,Roads & Highways,Arunachal Pradesh,3266.02,2026-02-17,2028-12-17,,,34,-18.381,-18.413,1.73,-11.146
PRJ-0118,Roads & Highways,Maharashtra,720.92,2026-02-07,2028-10-07,,,32,3.518,12.366,1.73,-2.098
PRJ-0119,Roads & Highways,Assam,2122.67,2026-02-20,2032-08-20,,,78,-11.131,-6.798,1.73,-7.331
PRJ-0120,Railways,Chhattisgarh,2208.35,2026-02-14,2033-03-14,,,85,-0.946,-22.042,37.14,-5.836
PRJ-0121,Roads & Highways,Andhra Pradesh,1465.0,2026-02-24,2032-01-24,,,71,14.211,-3.734,1.73,-5.906
PRJ-0122,Coal,Rajasthan,2096.15,2026-02-18,2034-06-18,,,100,-2.652,4.92,-1.1,-7.926
PRJ-0123,Urban Public Transport,Himachal Pradesh,15625.89,2026-02-14,2032-08-14,,,78,-21.912,-32.81,5.8,-11.046
PRJ-0124,Steel,Odisha,1485.73,2026-02-01,2034-08-01,,,102,-0.124,-14.368,14.55,-4.448
PRJ-0125,Roads & Highways,Maharashtra,607.5,2026-02-26,2034-11-26,,,105,7.812,12.366,1.73,-2.098
PRJ-0126,Roads & Highways,Uttar Pradesh,1093.58,2026-02-25,2035-01-25,,,107,0.468,2.185,1.73,-3.086
PRJ-0127,Water Resources,Dadra & Nagar Haveli and Daman & Diu,2609.59,2026-02-25,2035-02-25,,,108,19.972,-28.82,104.29,-5.9
PRJ-0128,Roads & Highways,Uttar Pradesh,710.09,2026-02-06,2033-02-06,,,84,-5.808,2.185,1.73,-3.086
PRJ-0129,Roads & Highways,Karnataka,365.65,2026-02-10,2030-03-10,,,49,-19.467,-17.416,1.73,-5.504
PRJ-0130,Roads & Highways,Uttar Pradesh,1175.43,2026-02-14,2032-12-14,,,82,-4.335,2.185,1.73,-3.086
PRJ-0131,Coal,Chhattisgarh,976.1,2026-02-27,2030-08-27,,,54,-7.766,-22.042,-1.1,-5.836
PRJ-0132,Water Resources,Tripura,1638.58,2026-02-09,2028-12-09,,,34,10.574,-43.844,104.29,-10.209
PRJ-0133,Roads & Highways,Uttarakhand,1437.66,2026-02-10,2030-08-10,,,54,-17.431,-33.821,1.73,-10.563
PRJ-0134,Telecommunication,Telangana,6021.97,2026-02-15,2029-02-15,,,36,-27.828,-22.597,-35.41,-9.117
PRJ-0135,Coal,West Bengal,2059.18,2026-02-07,2028-05-07,,,27,-16.639,-20.715,-1.1,-5.985
PRJ-0136,Roads & Highways,Bihar,601.48,2026-02-21,2031-05-21,,,63,6.201,-13.584,1.73,-3.536
PRJ-0137,Roads & Highways,Karnataka,623.14,2026-02-02,2030-10-02,,,56,-2.996,-17.416,1.73,-5.504
PRJ-0138,Roads & Highways,Maharashtra,2231.92,2026-02-21,2032-05-21,,,75,9.822,12.366,1.73,-2.098
PRJ-0139,Oil & Gas,Bihar,7529.16,2026-02-14,2031-11-14,,,69,-5.127,-13.584,8.97,-3.536
PRJ-0140,Roads & Highways,Chhattisgarh,574.05,2026-02-17,2029-06-17,,,40,-18.553,-22.042,1.73,-5.836
PRJ-0141,Railways,Puducherry,3384.0,2026-02-06,2034-09-06,,,103,-25.983,-64.2,37.14,-13.361
PRJ-0142,Coal,Uttar Pradesh,2167.61,2026-02-19,2033-09-19,,,91,0.709,2.185,-1.1,-3.086
PRJ-0143,Roads & Highways,Jharkhand,2878.64,2026-02-01,2029-11-01,,,45,-16.355,-17.585,1.73,-4.6
PRJ-0144,Transmission & Distribution,Karnataka,2798.65,2026-02-17,2035-05-17,,,111,-13.198,-17.416,3.02,-5.504
PRJ-0145,Railways,Uttarakhand,1873.98,2026-02-24,2034-07-24,,,101,-4.738,-33.821,37.14,-10.563
PRJ-0146,Coal,Kerala,806.06,2026-02-02,2030-07-02,,,53,-13.478,-26.921,-1.1,-8.051
PRJ-0147,Roads & Highways,Maharashtra,879.36,2026-02-08,2033-01-08,,,83,-5.105,12.366,1.73,-2.098
PRJ-0148,Roads & Highways,Bihar,906.15,2026-02-15,2034-05-15,,,99,-11.572,-13.584,1.73,-3.536
PRJ-0149,Roads & Highways,Maharashtra,922.15,2026-02-25,2031-06-25,,,64,6.979,12.366,1.73,-2.098
PRJ-0150,Roads & Highways,Maharashtra,922.03,2026-02-17,2035-07-17,,,113,9.384,12.366,1.73,-2.098
PRJ-0151,Transmission & Distribution,Rajasthan,1750.95,2026-02-26,2030-10-26,,,56,-1.261,4.92,3.02,-7.926
PRJ-0152,Railways,Odisha,860.93,2026-02-10,2035-02-10,,,108,5.278,-14.368,37.14,-4.448
PRJ-0153,Railways,Telangana,1368.17,2023-03-13,2026-02-13,2026-03-18,2026-03-18,35,2.932,-22.597,37.14,-9.117
PRJ-0154,Roads & Highways,Uttar Pradesh,1152.5,2026-02-19,2035-02-19,,,108,5.868,2.185,1.73,-3.086
PRJ-0155,Oil & Gas,Ladakh,1430.31,2026-02-24,2029-03-24,,,37,-5.62,-20.406,8.97,-5.631
PRJ-0156,Roads & Highways,Uttarakhand,638.42,2026-02-25,2030-06-25,,,52,-7.655,-33.821,1.73,-10.563
PRJ-0157,Roads & Highways,Jharkhand,2369.22,2026-02-10,2035-06-10,,,112,-12.69,-17.585,1.73,-4.6
PRJ-0158,Transmission & Distribution,Andhra Pradesh,4379.71,2026-02-27,2032-02-27,,,72,-16.397,-3.734,3.02,-5.906
PRJ-0159,Railways,Bihar,3776.3,2026-02-09,2035-10-09,,,116,-4.17,-13.584,37.14,-3.536
PRJ-0160,Roads & Highways,Bihar,866.93,2026-02-03,2031-05-03,,,63,-5.509,-13.584,1.73,-3.536
PRJ-0161,Roads & Highways,Bihar,1589.59,2026-02-10,2034-08-10,,,102,-11.111,-13.584,1.73,-3.536
PRJ-0162,Inland Waterways,Maharashtra,6479.05,2026-02-10,2031-03-10,,,61,12.487,12.366,-5.74,-2.098
PRJ-0163,Railways,Maharashtra,2544.31,2026-02-19,2035-03-19,,,109,18.865,12.366,37.14,-2.098
PRJ-0164,Roads & Highways,Punjab,516.88,2026-02-20,2029-04-20,,,38,-21.488,-29.625,1.73,-7.508
PRJ-0165,Roads & Highways,Gujarat,1291.59,2026-02-16,2029-05-16,,,39,9.383,8.533,1.73,-3.068
PRJ-0166,Roads & Highways,Kerala,1931.79,2026-02-28,2029-08-28,,,42,-5.904,-26.921,1.73,-8.051
PRJ-0167,Roads & Highways,Uttar Pradesh,1012.31,2026-02-27,2033-12-27,,,94,-4.527,2.185,1.73,-3.086
PRJ-0168,Transmission & Distribution,Meghalaya,2291.21,2026-02-08,2034-04-08,,,98,-32.597,-46.806,3.02,-10.697
PRJ-0169,Roads & Highways,Jharkhand,489.34,2026-02-01,2032-03-01,,,73,-9.104,-17.585,1.73,-4.6
PRJ-0170,Railways,Odisha,1627.7,2026-02-27,2034-03-27,,,97,5.84,-14.368,37.14,-4.448
PRJ-0171,Coal,Andhra Pradesh,1007.11,2026-02-03,2028-07-03,,,29,-9.824,-3.734,-1.1,-5.906
PRJ-0172,Roads & Highways,Manipur,507.26,2026-02-27,2035-04-27,,,110,-11.875,-34.668,1.73,-11.403
PRJ-0173,Roads & Highways,Goa,806.09,2026-02-06,2028-06-06,,,28,-18.672,-31.785,1.73,-6.752
PRJ-0174,Roads & Highways,Andhra Pradesh,515.61,2026-02-23,2032-06-23,,,76,12.323,-3.734,1.73,-5.906
PRJ-0175,Roads & Highways,Karnataka,958.87,2026-02-24,2031-08-24,,,66,-9.269,-17.416,1.73,-5.504
PRJ-0176,Coal,Uttar Pradesh,1103.7,2021-08-12,2026-05-12,2026-05-12,2026-05-12,57,-3.013,2.185,-1.1,-3.086
PRJ-0177,Roads & Highways,Maharashtra,498.83,2026-02-08,2036-02-08,,,120,7.749,12.366,1.73,-2.098
PRJ-0178,Railways,Punjab,1096.36,2026-02-24,2030-04-24,,,50,-8.922,-29.625,37.14,-7.508
PRJ-0179,Railways,Odisha,1439.08,2026-02-25,2031-12-25,,,70,2.479,-14.368,37.14,-4.448
PRJ-0180,Roads & Highways,Telangana,1282.91,2026-02-28,2034-10-28,,,104,-9.727,-22.597,1.73,-9.117
PRJ-0181,Electricity Generation,Uttarakhand,28877.01,2026-02-05,2031-10-05,,,68,-19.726,-33.821,12.9,-10.563
PRJ-0182,Railways,Uttar Pradesh,977.85,2026-02-01,2028-08-01,,,30,17.687,2.185,37.14,-3.086
PRJ-0183,Roads & Highways,Uttar Pradesh,2250.74,2026-02-06,2035-07-06,,,113,-2.007,2.185,1.73,-3.086
PRJ-0184,Roads & Highways,Ladakh,654.7,2026-02-18,2031-11-18,,,69,-9.709,-20.406,1.73,-5.631
PRJ-0185,Roads & Highways,Jammu & Kashmir,1942.25,2026-02-24,2031-06-24,,,64,-10.613,-30.598,1.73,-8.146
PRJ-0186,Roads & Highways,Puducherry,653.68,2026-02-27,2030-03-27,,,49,-38.069,-64.2,1.73,-13.361
PRJ-0187,Urban Public Transport,Jharkhand,6344.81,2026-02-16,2029-10-16,,,44,-7.265,-17.585,5.8,-4.6
PRJ-0188,Roads & Highways,Chandigarh,1393.88,2026-02-09,2034-06-09,,,100,-46.091,-67.359,1.73,-54.567
PRJ-0189,Urban Public Transport,Rajasthan,13808.37,2026-02-07,2034-09-07,,,103,-2.08,4.92,5.8,-7.926
PRJ-0190,Railways,Tamil Nadu,3027.79,2026-02-11,2033-08-11,,,90,15.054,0.764,37.14,-0.572
PRJ-0191,Coal,Andhra Pradesh,7146.99,2026-02-24,2030-11-24,,,57,-10.74,-3.734,-1.1,-5.906
PRJ-0192,Waste & Water,Bihar,302.66,2026-02-10,2036-02-10,,,120,-11.028,-13.584,1.27,-3.536
PRJ-0193,Roads & Highways,Madhya Pradesh,753.06,2026-02-22,2030-10-22,,,56,4.302,-8.492,1.73,-2.506
PRJ-0194,Transmission & Distribution,Dadra & Nagar Haveli and Daman & Diu,1025.54,2026-02-28,2035-01-28,,,107,-12.575,-28.82,3.02,-5.9
PRJ-0195,Roads & Highways,Gujarat,793.33,2026-02-21,2032-03-21,,,73,8.129,8.533,1.73,-3.068
PRJ-0196,Education,Himachal Pradesh,594.06,2026-02-25,2028-12-25,,,34,-20.776,-32.81,-3.03,-11.046
PRJ-0197,Roads & Highways,Uttar Pradesh,970.67,2026-02-09,2032-08-09,,,78,-6.01,2.185,1.73,-3.086
PRJ-0198,Roads & Highways,Jammu & Kashmir,850.35,2023-02-01,2026-06-01,2026-07-13,2026-07-13,40,-16.235,-30.598,1.73,-8.146
PRJ-0199,Roads & Highways,Maharashtra,1869.75,2026-02-17,2028-07-17,,,29,8.28,12.366,1.73,-2.098
PRJ-0200,Roads & Highways,Uttarakhand,1238.53,2026-02-09,2030-02-09,,,48,-17.965,-33.821,1.73,-10.563
PRJ-0201,Steel,Uttarakhand,1735.2,2026-02-14,2030-07-14,,,53,-11.054,-33.821,14.55,-10.563
PRJ-0202,Roads & Highways,Manipur,704.39,2026-02-13,2033-08-13,,,90,-27.785,-34.668,1.73,-11.403
PRJ-0203,Roads & Highways,Uttar Pradesh,1032.62,2026-02-13,2035-12-13,,,118,0.036,2.185,1.73,-3.086
PRJ-0204,Roads & Highways,Andaman & Nicobar,474.29,2026-02-04,2032-02-04,,,72,-30.75,-52.203,1.73,-20.338
PRJ-0205,Roads & Highways,Madhya Pradesh,2478.88,2026-02-27,2032-09-27,,,79,-6.859,-8.492,1.73,-2.506
PRJ-0206,Roads & Highways,Karnataka,533.2,2026-02-22,2032-12-22,,,82,-8.299,-17.416,1.73,-5.504
PRJ-0207,Energy Storage,Arunachal Pradesh,1978.87,2026-02-28,2028-11-28,,,33,0.571,-18.413,13.08,-11.146
PRJ-0208,Steel,Lakshadweep,913.75,2026-02-22,2030-11-22,,,57,-2.248,0.0,14.55,0.0
PRJ-0209,Roads & Highways,Chhattisgarh,428.08,2026-02-16,2028-06-16,,,28,-18.313,-22.042,1.73,-5.836
PRJ-0210,Telecommunication,Bihar,4030.88,2026-02-05,2032-03-05,,,73,-16.212,-13.584,-35.41,-3.536
PRJ-0211,Aviation & Aviation Infrastructure,Madhya Pradesh,728.57,2026-02-19,2034-10-19,,,104,3.587,-8.492,6.68,-2.506
PRJ-0212,Oil & Gas,Haryana,13987.16,2026-02-10,2029-10-10,,,44,7.634,8.788,8.97,-7.806
PRJ-0213,Coal,Uttar Pradesh,2665.91,2026-02-17,2034-12-17,,,106,-5.639,2.185,-1.1,-3.086
